[1, 2, 4, 5, 8, 9]
[3, 4, 5, 6, 7, 10]
[8, 9, 10, 31, 34, 37]
[10, 29, 32, 33, 45, 50]
[4, 18, 24, 32, 33, 44]
[9, 12, 13, 15, 30, 50]
[4, 5, 23, 33, 39, 59]
[14, 15, 22, 26, 32, 38]
[12, 15, 16, 20, 52, 58]
[8, 13, 16, 26, 27, 49]
[4, 17, 42, 44, 54, 74]
[18, 28, 31, 34, 36, 56]
[24, 29, 31, 38, 41, 42]
[6, 16, 20, 21, 24, 56]
[16, 20, 24, 34, 56, 61]
[3, 4, 10, 18, 30, 50]
[17, 20, 26, 27, 32, 57]
[12, 15, 50, 54, 56, 76]
[10, 14, 17, 18, 60, 72]
[9, 10, 12, 26, 32, 52]
[14, 15, 26, 44, 48, 50]
[4, 6, 8, 20, 35, 36]
[12, 24, 31, 32, 34, 40]
[4, 6, 19, 21, 32, 33]
[7, 14, 23, 39, 42, 59]
[4, 5, 22, 24, 36, 52]
[9, 12, 14, 15, 16, 49]
[21, 22, 24, 32, 36, 40]
[1, 4, 8, 10, 13, 29]
[13, 15, 16, 19, 41, 49]
[4, 12, 14, 31, 32, 52]
[5, 6, 26, 33, 36, 55]
[11, 17, 19, 27, 32, 58]
[10, 12, 16, 17, 20, 76]
[9, 15, 28, 36, 39, 59]
[10, 16, 18, 19, 20, 42]
[9, 12, 13, 20, 40, 55]
[12, 28, 34, 42, 44, 47]
[3, 7, 9, 13, 17, 18]
[5, 7, 16, 17, 21, 25]
[2, 8, 19, 23, 34, 39]
[3, 8, 12, 21, 22, 47]
[6, 11, 12, 13, 37, 40]
[5, 8, 16, 34, 35, 49]
[3, 10, 23, 24, 38, 53]
[24, 27, 30, 38, 40, 58]
[6, 9, 12, 23, 24, 25]
[14, 20, 23, 26, 30, 68]
[6, 9, 12, 13, 26, 28]
[4, 10, 11, 13, 17, 22]
[18, 21, 24, 53, 55, 62]
[5, 10, 17, 46, 47, 60]
[3, 4, 21, 29, 48, 64]
[10, 18, 26, 29, 30, 42]
[20, 22, 24, 32, 33, 60]
[16, 32, 42, 45, 50, 52]
[12, 14, 17, 21, 27, 28]
[4, 9, 14, 20, 22, 24]
[3, 6, 19, 26, 36, 38]
[2, 3, 4, 13, 14, 22]
[3, 4, 5, 10, 14, 17]
[2, 3, 4, 5, 9, 18]
[6, 19, 20, 21, 29, 32]
[3, 5, 25, 31, 32, 47]
[4, 10, 20, 32, 33, 50]
[16, 20, 24, 29, 30, 56]
[7, 11, 25, 27, 28, 47]
[8, 10, 28, 31, 34, 56]
[2, 6, 21, 30, 40, 58]
[4, 6, 16, 32, 51, 78]
[10, 14, 16, 18, 59, 70]
[10, 17, 18, 22, 48, 72]
[12, 17, 20, 27, 31, 57]
[18, 21, 30, 44, 46, 52]
[29, 32, 33, 42, 44, 49]
[9, 27, 28, 33, 38, 40]
[26, 32, 33, 36, 44, 46]
[4, 10, 17, 18, 25, 30]
[2, 8, 18, 23, 34, 38]
[3, 8, 9, 16, 18, 22]
[1, 3, 4, 7, 9, 15]
[2, 3, 4, 9, 13, 17]
[1, 2, 4, 5, 8, 9]
[3, 4, 5, 6, 7, 10]
